# depth maps
# file: 'rgbd_dataset_freiburg1_xyz.bag'
# timestamp filename
1305031102.160407 depth/1305031102.160407.png
1305031102.194330 depth/1305031102.194330.png
1305031102.226738 depth/1305031102.226738.png
1305031102.262886 depth/1305031102.262886.png
1305031102.295279 depth/1305031102.295279.png
1305031102.329195 depth/1305031102.329195.png
1305031102.363013 depth/1305031102.363013.png
1305031102.394772 depth/1305031102.394772.png
1305031102.427815 depth/1305031102.427815.png
1305031102.462395 depth/1305031102.462395.png
